Launching API Gateway in EMT mode...
Setting Java heap size to 1024 MB
INFO    08/Mar/2022:01:12:08.099 [0001:000000000000000000000000]                 listen on address: 0.0.0.0:8065
INFO    08/Mar/2022:01:12:08.100 [0001:000000000000000000000000]         SSL context certificate { subject: /CN=Change this for production, thumbprint: DA:97:6B:A9:ED:5D:8E:83:67:1F:17:9B:87:F3:1F:2D:89:77:84:58 }
INFO    08/Mar/2022:01:12:08.194 [0001:000000000000000000000000]         Starting VAPI-Runtime processor
INFO    08/Mar/2022:01:12:08.297 [0001:000000000000000000000000]         Configuring VApiRuntimeCache - API Manager Traffic [68ad26620400458921804a50]
INFO    08/Mar/2022:01:12:08.483 [0001:000000000000000000000000]         Loading VAPI brokers and certificates...
INFO    08/Mar/2022:01:12:10.886 [0001:000000000000000000000000]         Completed loading API brokers and certificates.
INFO    08/Mar/2022:01:12:10.886 [0001:000000000000000000000000]         Added API changes listener to API Manager Event Notifier
INFO    08/Mar/2022:01:12:10.886 [0001:000000000000000000000000]         Starting API Manager Event Poller
INFO    08/Mar/2022:01:12:10.999 [0001:000000000000000000000000]     Transaction access logging disabled
INFO    08/Mar/2022:01:12:11.689 [0001:000000000000000000000000] SSL/TCP interface
INFO    08/Mar/2022:01:12:28.810 [0001:000000000000000000000000]     using supplied DH parameters of size 4096
INFO    08/Mar/2022:01:12:28.810 [0001:000000000000000000000000]     option "notlsv1_1" enabled
INFO    08/Mar/2022:01:12:28.810 [0001:000000000000000000000000]     option "noSslRenegotiation" enabled
INFO    08/Mar/2022:01:12:28.810 [0001:000000000000000000000000]     option "nosslv3" enabled
INFO    08/Mar/2022:01:12:28.810 [0001:000000000000000000000000]     option "notlsv1" enabled
INFO    08/Mar/2022:01:12:28.811 [0001:000000000000000000000000]     SSL session cache size for this interface: 32
INFO    08/Mar/2022:01:12:28.811 [0001:000000000000000000000000]     interface ciphers: FIPS:!SSLv3:!aNULL:!TLSv1:!kRSA
INFO    08/Mar/2022:01:12:28.811 [0001:000000000000000000000000]     checking invariants for interface *:8085
INFO    08/Mar/2022:01:12:28.811 [0001:000000000000000000000000]         listen on address: 0.0.0.0:8085
INFO    08/Mar/2022:01:12:28.811 [0001:000000000000000000000000]         listen on address: :::8085
INFO    08/Mar/2022:01:12:28.811 [0001:000000000000000000000000]     add client CA certificate /CN=apimuat
INFO    08/Mar/2022:01:12:28.812 [0001:000000000000000000000000] operations DB responder waiting for requests on /ops/
INFO    08/Mar/2022:01:12:35.188 [0001:000000000000000000000000] starting 4 idle netsvc threadpool threads. Max 1024
INFO    08/Mar/2022:01:12:35.189 [0001:000000000000000000000000] service started (version 7.7.20220228-2022-02-24 rev. d052895, pid 1)
ERROR   08/Mar/2022:01:12:35.191 [0050:000000000000000000000000] error handling connection: Success. SSL system call failed
